DateKey;Pełna_data;Nr_dnia;Dzień_Tyg;Dzień_miesiąca;Miesiąc_skr;Miesiąc;CalendarQuarter;rok
20230630;2023-06-30;6;Friday;30;Jun;June;2;2023
20230707;2023-07-07;6;Friday;7;Jul;July;3;2023
20230714;2023-07-14;6;Friday;14;Jul;July;3;2023
20230721;2023-07-21;6;Friday;21;Jul;July;3;2023
20230728;2023-07-28;6;Friday;28;Jul;July;3;2023
20230804;2023-08-04;6;Friday;4;Aug;August;3;2023
20230811;2023-08-11;6;Friday;11;Aug;August;3;2023
20230818;2023-08-18;6;Friday;18;Aug;August;3;2023
20230825;2023-08-25;6;Friday;25;Aug;August;3;2023
20230901;2023-09-01;6;Friday;1;Sep;September;3;2023
20230908;2023-09-08;6;Friday;8;Sep;September;3;2023
20230915;2023-09-15;6;Friday;15;Sep;September;3;2023
20230922;2023-09-22;6;Friday;22;Sep;September;3;2023
20230929;2023-09-29;6;Friday;29;Sep;September;3;2023
20231006;2023-10-06;6;Friday;6;Oct;October;4;2023
20231013;2023-10-13;6;Friday;13;Oct;October;4;2023
20231020;2023-10-20;6;Friday;20;Oct;October;4;2023
20231027;2023-10-27;6;Friday;27;Oct;October;4;2023
20231103;2023-11-03;6;Friday;3;Nov;November;4;2023
20231110;2023-11-10;6;Friday;10;Nov;November;4;2023
20231117;2023-11-17;6;Friday;17;Nov;November;4;2023
20231124;2023-11-24;6;Friday;24;Nov;November;4;2023
20231201;2023-12-01;6;Friday;1;Dec;December;4;2023
20231208;2023-12-08;6;Friday;8;Dec;December;4;2023
20231215;2023-12-15;6;Friday;15;Dec;December;4;2023
20231222;2023-12-22;6;Friday;22;Dec;December;4;2023
20231229;2023-12-29;6;Friday;29;Dec;December;4;2023
20240105;2024-01-05;6;Friday;5;Jan;January;1;2024
20240112;2024-01-12;6;Friday;12;Jan;January;1;2024
20240119;2024-01-19;6;Friday;19;Jan;January;1;2024
20240126;2024-01-26;6;Friday;26;Jan;January;1;2024
20240202;2024-02-02;6;Friday;2;Feb;February;1;2024
20240209;2024-02-09;6;Friday;9;Feb;February;1;2024
20240216;2024-02-16;6;Friday;16;Feb;February;1;2024
20240223;2024-02-23;6;Friday;23;Feb;February;1;2024
20240301;2024-03-01;6;Friday;1;Mar;March;1;2024
20240308;2024-03-08;6;Friday;8;Mar;March;1;2024
20240315;2024-03-15;6;Friday;15;Mar;March;1;2024
20240322;2024-03-22;6;Friday;22;Mar;March;1;2024
20240329;2024-03-29;6;Friday;29;Mar;March;1;2024
20240405;2024-04-05;6;Friday;5;Apr;April;2;2024
20240412;2024-04-12;6;Friday;12;Apr;April;2;2024
20240419;2024-04-19;6;Friday;19;Apr;April;2;2024
20240426;2024-04-26;6;Friday;26;Apr;April;2;2024
20240503;2024-05-03;6;Friday;3;May;May;2;2024
20240510;2024-05-10;6;Friday;10;May;May;2;2024
20240517;2024-05-17;6;Friday;17;May;May;2;2024
20240524;2024-05-24;6;Friday;24;May;May;2;2024
20240531;2024-05-31;6;Friday;31;May;May;2;2024
20240607;2024-06-07;6;Friday;7;Jun;June;2;2024
20240614;2024-06-14;6;Friday;14;Jun;June;2;2024
20240621;2024-06-21;6;Friday;21;Jun;June;2;2024
20240628;2024-06-28;6;Friday;28;Jun;June;2;2024
20240705;2024-07-05;6;Friday;5;Jul;July;3;2024
20240712;2024-07-12;6;Friday;12;Jul;July;3;2024
20240719;2024-07-19;6;Friday;19;Jul;July;3;2024
20240726;2024-07-26;6;Friday;26;Jul;July;3;2024
20240802;2024-08-02;6;Friday;2;Aug;August;3;2024
20240809;2024-08-09;6;Friday;9;Aug;August;3;2024
20240816;2024-08-16;6;Friday;16;Aug;August;3;2024
20240823;2024-08-23;6;Friday;23;Aug;August;3;2024
20240830;2024-08-30;6;Friday;30;Aug;August;3;2024
20240906;2024-09-06;6;Friday;6;Sep;September;3;2024
20240913;2024-09-13;6;Friday;13;Sep;September;3;2024
20240920;2024-09-20;6;Friday;20;Sep;September;3;2024
20240927;2024-09-27;6;Friday;27;Sep;September;3;2024
20241004;2024-10-04;6;Friday;4;Oct;October;4;2024
20241011;2024-10-11;6;Friday;11;Oct;October;4;2024
20241018;2024-10-18;6;Friday;18;Oct;October;4;2024
20241025;2024-10-25;6;Friday;25;Oct;October;4;2024
20241101;2024-11-01;6;Friday;1;Nov;November;4;2024
20241108;2024-11-08;6;Friday;8;Nov;November;4;2024
20241115;2024-11-15;6;Friday;15;Nov;November;4;2024
20241122;2024-11-22;6;Friday;22;Nov;November;4;2024
20241129;2024-11-29;6;Friday;29;Nov;November;4;2024
20241206;2024-12-06;6;Friday;6;Dec;December;4;2024
20241213;2024-12-13;6;Friday;13;Dec;December;4;2024
20241220;2024-12-20;6;Friday;20;Dec;December;4;2024
20241227;2024-12-27;6;Friday;27;Dec;December;4;2024
